id,LoaiSims,TacVu,SoSim,Gia,Mang,LoaiGia,NamSinh,Anh
1480,,thuong,0912441882,500000,3,,,/default.png
1479,,thuong,0917211767,500000,3,,,/default.png
1478,,thuong,0914473334,500000,3,,,/default.png
1477,,thuong,0911558890,500000,3,,,/default.png
1476,,thuong,0911447732,500000,3,,,/default.png
1475,,thuong,0919853478,500000,3,,,/default.png
1474,,thuong,0911647786,500000,3,,,/default.png
1473,,thuong,0917800595,500000,3,,,/default.png
1472,,thuong,0917634086,500000,3,,,/default.png
1471,,thuong,0911314478,500000,3,,,/default.png
1470,,thuong,0917116486,500000,3,,,/default.png
1469,,thuong,0911355990,500000,3,,,/default.png
1468,,thuong,0919898221,500000,3,,,/default.png
1467,,thuong,0916737971,500000,3,,,/default.png
1466,,thuong,0918817191,500000,3,,,/default.png
1465,,thuong,0915558223,500000,3,,,/default.png
1464,,thuong,0911330995,500000,3,,,/default.png
1463,,thuong,0911607767,500000,3,,,/default.png
1462,,thuong,0914788200,500000,3,,,/default.png
1461,,thuong,0943146164,500000,3,,,/default.png
1460,,thuong,0912155114,500000,3,,,/default.png
1459,,thuong,0911799389,500000,3,,,/default.png
1458,,thuong,0911655007,500000,3,,,/default.png
1457,,thuong,0916866551,500000,3,,,/default.png
1456,,thuong,0913456291,500000,3,,,/default.png
1455,,thuong,0911965956,500000,3,,,/default.png
1454,,thuong,0911004252,500000,3,,,/default.png
1453,,thuong,0912220322,500000,3,,,/default.png
1452,,thuong,0917693078,500000,3,,,/default.png
1451,,thuong,0911118874,500000,3,,,/default.png
1450,,thuong,0917028802,500000,3,,,/default.png
1449,,thuong,0917055443,500000,3,,,/default.png
1448,,thuong,0911279002,500000,3,,,/default.png
1447,,thuong,0917792386,500000,3,,,/default.png
1446,,thuong,0819160395,500000,3,,,/default.png
1445,,thuong,0837050383,500000,3,,,/default.png
1444,,thuong,0857140696,500000,3,,,/default.png
1443,,thuong,0819120298,500000,3,,,/default.png
1442,,thuong,0812021091,500000,3,,,/default.png
1441,,thuong,0819200296,500000,3,,,/default.png
1440,,thuong,0814130292,500000,3,,,/default.png
1439,,thuong,0822081183,500000,3,,,/default.png
1438,,thuong,0836230889,500000,3,,,/default.png
1437,,thuong,0835031098,500000,3,,,/default.png
1436,,thuong,0835070195,500000,3,,,/default.png
1435,,thuong,0835081291,500000,3,,,/default.png
1434,,thuong,0835090497,500000,3,,,/default.png
1433,,thuong,0834010390,500000,3,,,/default.png
1432,,thuong,0832141097,500000,3,,,/default.png
1431,,thuong,0819200396,500000,3,,,/default.png
1430,,thuong,0835010492,500000,3,,,/default.png
1429,,thuong,0889878778,500000,3,,,/default.png
1428,,thuong,0889379777,500000,3,,,/default.png
1427,,thuong,0911345224,500000,3,,,/default.png
1426,,thuong,0945672017,500000,3,,,/default.png
1425,,thuong,0915784768,500000,3,,,/default.png
1424,,thuong,0914575975,500000,3,,,/default.png
1423,,thuong,0916873079,500000,3,,,/default.png
1422,,thuong,0913581486,500000,3,,,/default.png
1421,,thuong,0915036079,500000,3,,,/default.png
1420,,thuong,0916494186,500000,3,,,/default.png
1419,,thuong,0916316479,500000,3,,,/default.png
1418,,thuong,0917593586,500000,3,,,/default.png
1417,,thuong,0917642968,500000,3,,,/default.png
1416,,thuong,0911561468,500000,3,,,/default.png
1415,,thuong,0911615368,500000,3,,,/default.png
1414,,thuong,0919053479,500000,3,,,/default.png
1413,,thuong,0832959596,500000,3,,,/default.png
1412,,thuong,0913715456,500000,3,,,/default.png
